Time,Exp,Temp (degC)
0.1,7.86E-10,5.6221
0.2,2.46E-08,7.2505
0.3,1.04E-07,15.198
0.4,2.58E-05,19.529
0.5,1.16E-04,36.059
0.6,7.91E-04,42.134
0.7,8.69E-04,38.07
0.8,0.0046192,24.236
0.9,0.0047081,0.25113
1,0.010321,24.983
1.1,0.0099285,-3.1252
1.2,0.011558,2.9336
1.3,0.012207,33.488
1.4,0.016236,25.411
1.5,0.020209,21.659
1.6,0.029103,42.918
1.7,0.029704,34.463
1.8,0.04772,0.037132
1.9,0.048065,0.35469
2,0.049735,4.6525
2.1,0.051076,10.044
2.2,0.05426,8.0007
2.3,0.055454,20.585
2.4,0.062127,30.723
2.5,0.068202,34.382
2.6,0.080338,42.92
2.7,0.08114,26.247
2.8,0.10261,24.234
2.9,0.10302,0.25113
3,0.10499,4.9994
3.1,0.10654,-2.5187
3.2,0.11017,-0.72908
3.3,0.11152,20.584
3.4,0.11881,30.723
3.5,0.12528,34.382
3.6,0.13771,42.92
3.7,0.13852,26.247
3.8,0.15946,24.234
3.9,0.15986,0.25113
4,0.16178,4.9994
4.1,0.16328,-2.5187
4.2,0.16677,-0.72908
4.3,0.16806,20.584
4.4,0.17496,30.723
4.5,0.18103,34.382
4.6,0.19251,42.92
4.7,0.19326,26.247
4.8,0.21227,24.234
4.9,0.21264,0.25113
5,0.21438,4.9994
5.1,0.21574,-2.5187
5.2,0.21889,-0.72908
5.3,0.22006,20.584
5.4,0.22627,30.723
5.5,0.23171,34.382
5.6,0.24195,42.92
5.7,0.24262,26.247
5.8,0.25949,24.234
5.9,0.25982,0.25113
6,0.26136,4.9994
6.1,0.26257,-2.5187
6.2,0.26537,-0.72908
6.3,0.26641,20.584
6.4,0.27191,30.723
6.5,0.27672,34.382
6.6,0.28578,42.92
6.7,0.28638,26.247
6.8,0.3013,24.234
6.9,0.30158,0.25113
7,0.30295,4.9994
7.1,0.30403,-2.5187
7.2,0.3065,-0.72908
7.3,0.30742,20.584
7.4,0.3123,30.723
7.5,0.31656,34.382
7.6,0.3246,42.92
7.7,0.32513,26.247
7.8,0.33839,24.234
7.9,0.33865,0.25113
8,0.33986,4.9994
8.1,0.34082,-2.5187
8.2,0.34302,-0.72908
8.3,0.34384,20.584
8.4,0.34819,30.723
8.5,0.35199,34.382
8.6,0.35917,42.92
8.7,0.35964,26.247
8.8,0.37151,24.234
8.9,0.37174,0.25113
9,0.37283,4.9994
9.1,0.37368,-2.5187
9.2,0.37566,-0.72908
9.3,0.37639,20.584
9.4,0.38029,30.723
9.5,0.38371,34.382
9.6,0.39017,42.92
9.7,0.39059,26.247
9.8,0.40128,24.234
9.9,0.40149,0.25113
10,0.40247,4.9994
10.1,0.40325,-2.5187
10.2,0.40503,-0.72908
10.3,0.40569,20.584
10.4,0.40922,30.723
10.5,0.41231,34.382
10.6,0.41815,42.92
10.7,0.41853,26.247
10.8,0.42823,24.234
10.9,0.42842,0.25113
11,0.42931,4.9994
11.1,0.43001,-2.5187
11.2,0.43163,-0.72908
11.3,0.43223,20.584
11.4,0.43543,30.723
11.5,0.43825,34.382
11.6,0.44356,42.92
11.7,0.44391,26.247
11.8,0.45275,24.234
11.9,0.45292,0.25113
12,0.45374,4.9994
12.1,0.45438,-2.5187
12.2,0.45586,-0.72908
12.3,0.45641,20.584
12.4,0.45933,30.723
12.5,0.4619,34.382
12.6,0.46677,42.92
12.7,0.46709,26.247
12.8,0.47518,24.234
12.9,0.47534,0.25113
13,0.47609,4.9994
13.1,0.47667,-2.5187
13.2,0.47803,-0.72908
13.3,0.47853,20.584
13.4,0.48122,30.723
13.5,0.48358,34.382
13.6,0.48804,42.92
13.7,0.48834,26.247
13.8,0.49579,24.234
13.9,0.49593,0.25113
14,0.49662,4.9994
14.1,0.49716,-2.5187
14.2,0.49841,-0.72908
14.3,0.49887,20.584
14.4,0.50134,30.723
14.5,0.50352,34.382
14.6,0.50764,42.92
14.7,0.50791,26.247
14.8,0.51478,24.234
14.9,0.51492,0.25113
15,0.51555,4.9994
15.1,0.51605,-2.5187
15.2,0.5172,-0.72908
15.3,0.51763,20.584
15.4,0.51992,30.723
15.5,0.52193,34.382
15.6,0.52574,42.92
15.7,0.52599,26.247
15.8,0.53236,24.234
15.9,0.53249,0.25113
16,0.53307,4.9994
16.1,0.53354,-2.5187
16.2,0.53461,-0.72908
16.3,0.535,20.584
16.4,0.53712,30.723
16.5,0.53899,34.382
16.6,0.54253,42.92
16.7,0.54276,26.247
16.8,0.54868,24.234
16.9,0.54879,0.25113
17,0.54934,4.9994
17.1,0.54977,-2.5187
17.2,0.55076,-0.72908
17.3,0.55113,20.584
17.4,0.55311,30.723
17.5,0.55484,34.382
17.6,0.55813,42.92
17.7,0.55835,26.247
17.8,0.56386,24.234
17.9,0.56397,0.25113
18,0.56448,4.9994
18.1,0.56488,-2.5187
18.2,0.56581,-0.72908
18.3,0.56615,20.584
18.4,0.56799,30.723
18.5,0.56961,34.382
18.6,0.57268,42.92
18.7,0.57289,26.247
18.8,0.57803,24.234
18.9,0.57813,0.25113
19,0.57861,4.9994
19.1,0.57899,-2.5187
19.2,0.57985,-0.72908
19.3,0.58017,20.584
19.4,0.58189,30.723
19.5,0.58341,34.382
19.6,0.58628,42.92
19.7,0.58647,26.247
19.8,0.59129,24.234
19.9,0.59138,0.25113
20,0.59183,4.9994
20.1,0.59218,-2.5187
20.2,0.59299,-0.72908
20.3,0.59329,20.584
20.4,0.5949,30.723
20.5,0.59632,34.382
20.6,0.59902,42.92
20.7,0.5992,26.247
20.8,0.60372,24.234
20.9,0.6038,0.25113
21,0.60422,4.9994
21.1,0.60455,-2.5187
21.2,0.60531,-0.72908
21.3,0.6056,20.584
21.4,0.60711,30.723
21.5,0.60844,34.382
21.6,0.61097,42.92
21.7,0.61114,26.247
21.8,0.61539,24.234
21.9,0.61547,0.25113
22,0.61587,4.9994
22.1,0.61618,-2.5187
22.2,0.61689,-0.72908
22.3,0.61716,20.584
22.4,0.61858,30.723
22.5,0.61983,34.382
22.6,0.62222,42.92
22.7,0.62238,26.247
22.8,0.62638,24.234
22.9,0.62646,0.25113
23,0.62683,4.9994
23.1,0.62712,-2.5187
23.2,0.62779,-0.72908
23.3,0.62804,20.584
23.4,0.62938,30.723
23.5,0.63057,34.382
23.6,0.63281,42.92
23.7,0.63296,26.247
23.8,0.63674,24.234
23.9,0.63681,0.25113
24,0.63716,4.9994
24.1,0.63744,-2.5187
24.2,0.63807,-0.72908
24.3,0.63831,20.584
24.4,0.63958,30.723
24.5,0.64069,34.382
24.6,0.64281,42.92
24.7,0.64295,26.247
24.8,0.64652,24.234
24.9,0.64659,0.25113
25,0.64692,4.9994
25.1,0.64718,-2.5187
25.2,0.64778,-0.72908
25.3,0.64801,20.584
25.4,0.6492,30.723
25.5,0.65026,34.382
25.6,0.65227,42.92
25.7,0.6524,26.247
25.8,0.65578,24.234
25.9,0.65584,0.25113
26,0.65616,4.9994
26.1,0.6564,-2.5187
26.2,0.65697,-0.72908
26.3,0.65719,20.584
26.4,0.65832,30.723
26.5,0.65932,34.382
26.6,0.66122,42.92
26.7,0.66135,26.247
26.8,0.66455,24.234
26.9,0.66461,0.25113
27,0.66491,4.9994
27.1,0.66514,-2.5187
27.2,0.66568,-0.72908
27.3,0.66588,20.584
27.4,0.66696,30.723
27.5,0.6679,34.382
27.6,0.66971,42.92
27.7,0.66983,26.247
27.8,0.67287,24.234
27.9,0.67292,0.25113
28,0.67321,4.9994
28.1,0.67343,-2.5187
28.2,0.67394,-0.72908
28.3,0.67413,20.584
28.4,0.67515,30.723
28.5,0.67605,34.382
28.6,0.67777,42.92
28.7,0.67788,26.247
28.8,0.68077,24.234
28.9,0.68082,0.25113
29,0.68109,4.9994
29.1,0.6813,-2.5187
29.2,0.68179,-0.72908
29.3,0.68197,20.584
29.4,0.68294,30.723
29.5,0.6838,34.382
29.6,0.68543,42.92
29.7,0.68554,26.247
29.8,0.68829,24.234
29.9,0.68834,0.25113
30,0.68859,4.9994
